Department,Major,Degree,School,Course Title,Course Description,Cost
Recreation,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland Global Campus,"ECON 203, PRINCIPLES OF MICROECONOMICS","An analysis of the economic principles underlying the behavior of individual consumers and business firms. The goal is to apply select microeconomic theories to real-world situations. Emphasis is on market theory. Topics include the implications of government intervention, technological innovation, the advantages and disadvantages of different market structures, and income distribution and poverty.",900.00
Health & Human Services,Psychology,Masters (MA/MS/MPH/etc.),GRAND CANYON UNIVERSITY,PCN-622B PRACTICUM/INTERNSHIP 2,"Students use this supervised practicum/internship experience to develop their counseling skills and to perform all the activities that a regularly employed professional counselor would be expected to perform in a supervised setting. The practicum/internship is performed under the supervision of a faculty member and an on-site clinical supervisor approved by the college or university. Documentation of 150 hours of counseling-related activities, which include 50 direct contact hours, is submitted directly to the college's office of field experience for verification and tracking.",530.00
Environmental Protection,Economics,Masters (MA/MS/MPH/etc.),JOHNS HOPKINS UNIVERSITY,CALCULUS II � PHYSICAL SCIENCES AND ENGINEERING (110.109),"This is the second of a two course sequence in the differential and integral calculus of single variable functions. Topics include techniques of integration, applications of integrals, polar coordinates, parametric equations, Taylor's theorem and applications, infinite sequences and series. Some applications to the physical sciences and engineering will be discussed, as this sequence of courses are designed to meet the needs of students in these disciplines. 4 credits",0.00
Health & Human Services,Psychology,Masters (MA/MS/MPH/etc.),GRAND CANYON UNIVERSITY,COUNSELING ETHIS,"This course provides a broad understanding of counseling ethics, legal standards, and responsibilities, including professional identity, report writing, record keeping, and service reimbursement for professional and substance-use-disorder counselors. Also covered are the history of and current trends in counseling. Important goals of this course are to help students develop a strong personal and professional ethic, as well as an appreciation for the value of professional collaboration and identity.",1030.00
Office of Labor Relations,Other/Misc.,Certificate,Association for Talent Development (ATD),CHANGE MANAGEMENT CERTIFICATE,"Facilitating Change is critical more than ever as organizations are affected by economic conditions and are driven to improve efficiency, productivity, and service quality. this program establishes a comprehensive change model that can be immediately applied to your current situations through application exercises, case studies, and interactive program.",1550.00
Fire/Rescue Services,None,Non-Degree,COLUMBUS MCKINNON CORPORATION,SPRAT 1 - SOCIETY OF PROFRESSIONAL ROPE ACCESS TECHNICIANS,Society Professional Rope Access Technician,1600.00
Housing & Community Affairs,Criminology and Criminal Justice,Bachelors (BA/BS),University of Maryland - University College,BMGT 110 INTRODUCTION TO BUSINESS AND MANAGEMENT,Introduction to Business and Management,900.00
Fire/Rescue Services,Business/Admin./Mgmt.,AA,Montgomery College Rockville Campus,INTRODUCTION TO STUDY OF ETHICS,,396.00
Police,Psychology,Other,CE You!,PESI COURSE: THE HEALTH ANXIETY TREATMENT GUIDE: ACT AND CBT-�BASED INTERVENTIONS,Objectives: Assess for Somatic Symptom Disorder and Illness Anxiety Disorder in clients. Differentiate healthy anxieties from potential co-morbid disorders. Develop and provide client-friendly psychoeducation about health anxiety and its related symptoms. Build collaborative treatment plans tailored to each client's unique experience of health anxiety. Utilize evidence-based CBT strategies to break the problematic cycle of health anxiety through changing thoughts and behaviors. Apply ACT techniques and mindfulness-based strategies to enhance clients' uncertainty tolerance and acceptance of somatic symptoms.,109.99
Housing & Community Affairs,Criminal Justice,Bachelors (BA/BS),University of Maryland - University College,INTRO TO CRIMINAL JUSTICE,"(Fulfills the general education requirement in behavioral and social sciences.) An introduction to the administration of criminal justice in a democratic society, emphasizing the history and theories of law enforcement. The objective is to conduct research, analyze criminological theory to inform the development of criminal justice policies, and make appropriate criminal justice decisions. Discussion covers the principles of organization and administration in law enforcement, including specific activities and functions (such as research and planning, public relations, personnel and training, inspection and control, and formulation and direction of policy). Students may receive credit for only one of the following courses: CCJS 100 or CJUS 100.",852.00
Community Use Public Facilities,Business/Admin./Mgmt.,AA,COLLEGE OF SOUTHERN MARYLAND,MTH-0994-83577 INTERM ALGEBRA SKILLS & CONC,"Students examine the functions of planning, organizing, directing, and controlling business activities as they relate to both the internal and external environment of the organization. Case studies highlight the management process. Students may be required to work in teams.",232.00
Police,Law,Juris Doctor,UNIVERSITY OF BALTIMORE,LAW 825 - TRIAL ADVOCACY,"This course is devoted primarily to developing trial advocacy lawyering skills by engaging students in exercises that simulate trial practice. Students prepare lay and expert witnesses, perform exercises including direct and cross-examination and opening and closing statements, learn to develop and implement a case theory, and practice making and responding to objections. Students consider ethical and tactical issues arising in the trial process. Students conduct regular self-evaluation of their preparation and performance, and the exercises are critiqued with respect to substance, strategy, and courtroom demeanor. At the conclusion of the course, students, acting in teams, take part in full trials.",1730.00
Recreation,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland Global Campus,"ECON 201, PRINCIPLES OF MACROECONOMICS","An introductory study of the macroeconomy. The objective is to apply select macroeconomic theories to real-world situations. Discussion covers economic growth, technological innovation, unemployment, inflation, and the roles of monetary policy and fiscal policy in determining macroeconomic performance.",900.00
Correction & Rehabilitation,Emergency Management,AA,FREDERICK COMMUNITY COLLEGE,INTERNSHIP,"Provides the student with an opportunity to gain knowledge and skills from a planned work experience in the student's chosen career field. In addition to meeting Core Learning Outcomes, jointly developed Specific Learning Outcomes are selected and evaluated by the Faculty Internship Advisor, Work-Site Supervisor, and the student. Internship placements are directly related to the student s program of study and provide learning experiences not available in the classroom setting. Internships provide entry-level, career-related experiences, and workplace competencies that employers value when hiring new employees. Internships may also be used as an opportunity to explore career fields. Students must meet with the Internship Coordinator prior to registering.",282.00
Health & Human Services,Psychology,Masters (MA/MS/MPH/etc.),WALDEN UNIVERSITY,COUNSELING,"Group work is an effective counseling method that allows group members to share perspectives and provide useful feedback and information in a structured setting. Using relevant literature, multimedia resources, and a scholar-practitioner model, students examine stages of group process; group dynamics; and ethical, legal, and training standards. Students examine the types of counseling groups as well as the unique leadership skills required for each type of group. Students are provided with a comprehensive review of theoretical approaches applicable to group counseling. Students engage in a variety of practical application assignments and discussions, focusing on the efficacy of using group counseling with multicultural and diverse populations. Students will develop an evidence-based mental health group proposal appropriate for potential implementation in field experience. Students engage in a process of self-reflection to increase self-awareness for enhanced group leadership knowledge and skills.Group lab is a separate 0-credit, required course that occurs simultaneously with the Group Process and Dynamics course. Students need to ensure that they are enrolled and participating in both courses.",2030.00
Police,Business/Admin./Mgmt.,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",ISFM 201 CONCEPTS AND APPLICATIONS OF INFORMATION TECHNOLOGY,"An introduction to data and the range of technologies (including hardware, software, databases, and networking and information systems) that provide the foundation for the data-centric focus of modern organizations. The objective is to apply knowledge of basic technical, ethical, and security considerations to select and use information technology (and the data that arises from technology) effectively in one's personal and professional lives.",981.00
Human Resources,Human Resources,Certificate,HR Certification,401K TRAINING & CERTIFICATION PROGRAM,Learn what Fiduciary responsibilities an organization has and how to implement and operate the plan.,499.00
Police,Psychology,Other,CE You!,"ACES AND DOCUMENTATION, CULTURAL COMPETENCE AND DIVERSITY EXPANSION SEMINAR","Adverse Childhood Experiences (ACEs) are potentially traumatic events that can have negative, lasting effects on health and well-being. Research has sought to quantify the prevalence of ACEs and illuminate their connection with negative behavioral and health outcomes later in life. This interactive seminar will highlight the significance of ACEs so that we might more easily connect with our clients and thus advance their healing. ACEs documentation can also be helpful in clinical documentation. Participants will look at the significance and purpose of quality clinical documentation and will review quality progress notes, treatment planning, and compare SOAP (Subjective, Objective, Assessment, and Plan) versus GARP (Goal, Activity, Response, Plan) notes. Participants will gain a perspective on expectations for notes in the event our documentation is audited or presented as evidence in the legal system. Cultural competence and diversity seminar focused on barriers to providing culturally competent services which leads to awareness of personal cultural lenses.",99.99
Fire/Rescue Services,Public Safety,Bachelors (BA/BS),University of Maryland Global Campus,PUBLIC SAFETY ADMININSTRATION ETHICS,"An in-depth examination of ethics and ethical issues in public safety administration. The aim is to recognize the principles of ethical decision making and those factors that tend to undermine their application and those that tend to support them Topics include the most well know ethical systems, values and empathy, moral disengagement, ethical decision making and ethical leadership, and deception as viewed through the lens of ethical responsibility.",915.00
Human Resources,None,Non-Degree,SHRM TRAINING FOR PHR AND SPHR CERTIFICATION,CHANGE MANAGEMENT: LEADING SUCCESSFUL TRANSFORMATION,"Program Overview
Managing change is becoming a major focal point for HR professionals as organizations continue to adapt to an ever changing workplace. In this two-day seminar, you will use a variety of resources to simulate a change initiative in a realistic work environment. Interact with other students through group discussions, problem solving via a case study, and coaching in a safe learning atmosphere with an experienced change management professional. Gain access to a change management toolkit to reinforce and continue the learning experience outside the classroom.

Program Objectives
- Use SHRM's six-step change framework to guide your change management efforts
- Draw from a range of models that focus on the people side of change
- Develop change initiatives through a case study and simulation
- Identify tools and techniques for assessing change",1470.00
Health & Human Services,Computer Science,Bachelors (BA/BS),University of Maryland Global Campus,CMIS111,"An interdisciplinary survey examining the impact technology has on human culture. The objective is to evaluate the influence technology has on the human experience, employ interdisciplinary knowledge on issues of technology and culture, and communicate in writing and oral presentation the results of critical reflection and cultural criticism. Topics include technology and history, misinformation and disinformation, social media, ethics, the arts, race and gender, transhumanism, and technology and the self.",734.00
Police,Information Technology,Bachelors (BA/BS),University of Maryland Global Campus,CCJS 321 DIGITAL FORENSICS IN THE CRIMINAL JUSTICE SYSTEM,A hands-on exploration of digital analysis based on the overarching principles of data integrity and search and comparison as they relate to digital evidence. Focus is on the data and forensic tools and methodologies used to explore these overarching principles critical to digital evidence and analysis. The comparison and correlation of digital artifacts provide a solid introduction to all facets of digital analysis.,749.00
Police,Social Work,Masters (MA/MS/MPH/etc.),LIBERTY UNIVERSITY,INTRODUCTION TO LIFE COACHING,See attached course description.,1730.00
Police,Accounting (Business),Bachelors (BA/BS),University of Maryland Global Campus,ACCOUNTING 438,"An analysis and discussion of issues relating to fraud and forensic accounting. The objective is to identify the resources for detecting fraud, evaluate the conditions that encourage fraud, and design effective fraud detection and prevention plans. Focus is on the perspectives of public, internal, and private accountants. Discussion covers the principles and standards for proactive and reactive investigation, as well as detection and control of fraud.",999.00
Police,Not Listed,Bachelors (BA/BS),University of Maryland Global Campus,CMIT-326 - CLOUD TECHNOLOGIES,"A hands-on study of basic cloud technologies. The aim is to apply the techniques and tools used in cloud environments, especially the AWS (Amazon Web Services) cloud. Topics include the global infrastructure of the cloud, deployment and operation in various cloud environments, high availability, scalability, elasticity, security, and troubleshooting. AWS, Microsoft Azure, and Google Cloud are compared.",749.00
Police,Criminology and Criminal Justice,Certificate,"UNIVERSITY OF MARYLAND, COLLEGE PARK",CCJS 671 (PLL1): TECHNOLOGY IN MODERN POLICING,"Leaders in law enforcement must be able to effectively evaluate, deploy, and manage technology projects. This course covers state-of-the-art technologies used in everyday policing, as well as emerging and future technologies. Students evaluate technological solutions to public safety problems from a legal/policy and privacy/optics perspective, from a procurement and budgetary perspective, and from a technical perspective. Students learn the challenges and best practices associated with deploying major technology projects. This course covers the underlying technical aspects of these technologies at a high level, such that students are able to successfully make informed decisions.",1730.00
Human Resources,Health & Human Services,Masters (MA/MS/MPH/etc.),LIBERTY UNIVERSITY,INTRODUCTION TO HUMAN SERVICES,Intro to Human Services 500- B02,1113.00
Police,Information Technology,Bachelors (BA/BS),University of Maryland Global Campus,CMIT 291 - INTRODUCTION TO LINUX,"A study of the Linux operating system. The goal is to configure and manage processes, user interfaces, device files, print facilities, file systems, task automation, the boot-up/shutdown sequence, disk storage, network connectivity, system security, and users and groups.",981.00
Recreation,Accounting (Business),Bachelors (BA/BS),University of Maryland - University College,NUTR 100 - ELEMENTS OF NUTRITION,"A study of the scientific and quantitative foundations of the applied science of human nutrition. The goal is to understand how nutrition reflects an integration across scientific disciplines and how foods provide important nutrients that provide substance and energy for healthy living. Topics include scientific reasoning, healthy meal planning, and weight management.",400.00
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),GRAND CANYON UNIVERSITY,PCN-509 SOCIAL AND CULTURAL DIVERSITY ISSUES IN COUNSELING,"This course provides a broad understanding of issues and trends in a multicultural and diverse society. Studies in this area include the following: attitudes and behaviors based on such factors as age, race, religious preference, physical disability, sexual orientation, ethnicity and culture, family patterns, gender, socioeconomic status and intellectual ability; individual, family, group, and community strategies for working with diverse populations; theories of multicultural counseling and identity development; and multicultural competencies. Students examine a variety of cultural populations in multiple regions of the United States, exploring issues and trends that are associated with each population. Cultural considerations for immigrants, refugees, and undocumented immigrants are also addressed.",720.00
Libraries,General Studies,AA,Montgomery College Rockville Campus,GDES 218 - GRAPHIC DESIGN FOR THE WEB,"An examination of principles of design and design considerations as applied to the creation of Web pages and Web sites. Emphasis is on visual communication principles and visual presentation aspects of Web pages, including page layout, typography, color theory, navigation, and image creation and editing. Students will apply principles of design in the creation of a Web site. (R only) PREREQUISITE: ARTT 116/GDES 116 or GDES 214/PHOT 214 or consent of department. Two hours lecture, four hours laboratory each week. Formerly GD 218. 
4.000 Credit hours 
4.000 Bill Hours",496.00
Police,Other/Misc.,Other,"Force Science Institute, LTD.",FORCE SCIENCE CERTIFICATION COURSE,"Encounters involving the use of force are often very brief and violent. Law enforcement officers must give their utmost in response, perception, decision-making, and performance to protect themselves and ensure the public's safety. Judgments passed on actions in these situations, whether in administrators' offices, courts, media coverage, or among citizens, are often made quickly before the facts are gathered and without foundation in the science of human behavior or performance under stress.

The Force Science Certification Course uses the combined knowledge of a team of world-class experts to explore the complex mix of human dynamics involved in the often complicated, confusing, and controversial uses of force by law enforcement personnel.

The primary objective of this intensive course is to prepare law enforcement professionals to understand human factor dynamics more thoroughly and completely while investigating cases involving the use of force. Participants will learn to promote peak performance in pressurized situations and understand what actually occurs in tense and emotionally charged use-of-force events. This preparation allows graduates to draw clear, accurate, and concise conclusions in their investigations.

The course will use research and input from a group of experts to teach the following concepts and more:

Why individuals may recall facts they believe to be the truth when their accounts conflict with forensic evidence.
The advisability of making site visits or video reviews before a video statement is recorded.
What sleep and memory research says about timing interviews after significant events.
What stress-induced visual and auditory anomalies are, and how to deal with them during interviews.
Successful interview techniques for an accurate and thorough recollection of details in force encounters.
Whether shots to the back really reflect what shooters saw when they fired.
How to avoid critical mistakes during post-incident interviews.
The facts about use of force decisions: How long it takes to start and stop actions.
How to enhance decision-making through police officer training.",1399.00
Health & Human Services,Science Education,Masters (MA/MS/MPH/etc.),FROSTBURG STATE UNIVERSITY,FOUNDATIONS,"A study of recreation and leisure behavior, including concepts, theories and terminology. Emphasizes a historical and literary examination of the park and recreation field as a social movement and as a leisure industry.",1020.00
Police,General Studies,Bachelors (BA/BS),University of Maryland Global Campus,INTRODUCTION TO STATISTICS,"An introduction to statistics. The objective is to assess the validity of statistical conclusions; organize, summarize, interpret, and present data using graphical and tabular representations; and apply principles of inferential statistics. Focus is on selecting and applying appropriate statistical tests and determining reasonable inferences and predictions from a set of data. Topics include methods of sampling; percentiles; concepts of probability; probability distributions; normal, t-, and chi-square distributions; confidence intervals; hypothesis testing of one and two means; proportions; binomial experiments; sample size calculations; correlation; regression; and analysis of variance (ANOVA).",700.00
Sheriff,Psychology,Masters (MA/MS/MPH/etc.),HOOD COLLEGE,COUN 507: TRAUMA & CRISIS INTERVENTIONS,"This course provides the counseling student with an introduction to research, theory, and practice within the field of trauma counseling. The course will cover the historical evolution of the field; biopsychosocial underpinnings of trauma and trauma spectrum disorders; issues in diagnosis, assessment, and intervention from a culturally diverse framework; and a synthesis of best practices as they are currently evolving. Using a developmental and systemic approach, the course will provide a counseling perspective on the knowledge base from the multiple disciplines that contribute to the field of traumatology.",2295.00
Fire/Rescue Services,Business/Admin./Mgmt.,AA,Montgomery College Rockville Campus,SURVEY OF COLLEGE MATHEMATICS,,396.00
Police,Not Listed,Masters (MA/MS/MPH/etc.),University of New Haven,INVESTIGATING FINANCIAL CRIMES - INVS 6630,Study of principles and techniques associated with investigating financial crimes. Emphasis on case study approach to understanding financial crimes investigation.,1230.00
Police,Psychology,Other,CE You!,PESI COURSE: SOCIAL ANXIETY AND PERFECTIONISM: CLINICAL TOOLS TO LET GO OF UNREALISTIC STANDARDS,"Objectives: Evaluate the relationship between social anxiety disorder and perfectionism to inform clinical interventions. Conduct interview-based, self-report, and behavioral assessments of social anxiety and perfectionism to inform the clinician's choice of treatment interventions. Practice three cognitive therapy strategies targeting distorted thinking patterns relevant to social anxiety and perfectionism. Differentiate effective versus ineffective principles for designing exposure assignments to alleviate symptoms of social anxiety and perfectionism. Employ mindfulness practices to help clients shift from a control-focused state to an acceptance-focused state to improve treatment outcomes. Construct effective strategies to defuse resistance to change and improve client engagement",109.99
Police,Other/Misc.,Other,Institute of Police Technology & Management,IMPLEMENTING A DRONE PROGRAM FOR COLLISION RECONSTRUCTION,"Operating Drones (UAS) for crash and crime scene mapping requires a remote pilot certificate from the FAA (Part 107) or a COA (Public Safety Only). Understanding the rules and procedures to operate in different types of airspace with the proper waivers/authorizations can be overwhelming at times but is necessary to operate safely and in accordance with all FAA regulations. In this Video on Demand, Mark DiCocco (Forensic Mapping Solutions) will explore the basics of starting and operating a UAS program.",99.00
Fire/Rescue Services,None,Non-Degree,FIRE DEPARTMENT TRAINING NETWORK,FIRE GROUND COMPANY OFFICER,Common Sense and solid foreground skills for company officers.,630.00
Health & Human Services,Science Education,Bachelors (BA/BS),University of Maryland Global Campus,BEHS 210 INTRO TO SOCIAL SCIENCE,"An interdisciplinary introduction to the study of society. The objective is to use the combined perspectives of the different social science disciplines to better understand the nature of society. Topics include research methods, ethical considerations in research, and the relationships among the different social sciences. Discussion surveys a range of social sciences.",597.00
Fire/Rescue Services,Business/Admin./Mgmt.,AA,Montgomery College Rockville Campus,PRINCIPLES OF CHEMISTRY I,,528.00
Police,Other/Misc.,Masters (MA/MS/MPH/etc.),University of New Haven,INVS 6680 - FOUNDATIONS OF DIGITAL FORENSICS INVESTIGATIONS,"In this course, students will differentiate the various types of cybercrime, how to conduct an investigation, the process of retrieving and analyzing digital evidence, network forensics, and laws relevant to electronic evidence. It is also ideal for students in legal courses who are seeking an introduction to the technology involved in computer forensics?investigations and the technical and legal difficulties involved in searching, extracting, maintaining, and storing electronic evidence, while simultaneously looking at the legal implications of such investigations and the rules of legal procedure relevant to electronic evidence.",1582.50
Libraries,General Studies,AA,Montgomery College Rockville Campus,TVRA 140 - VIDEO EDITING,"An introduction to the equipment and workflow used to create dynamic and engaging videos using professional nonlinear editing software. Hands-on projects allow students to edit video, along with still images, animations and sounds into presentations suitable for visual arts, web, educational, and corporate use. (R and TP/SS only) Assessment Level(s): ENGL 101/ENGL 101A, READ 120. Two hours lecture, three hours laboratory each week. Formerly TR 110. 
3.000 Credit hours 
3.000 Bill Hours",372.00
Fire/Rescue Services,None,Non-Degree,COLUMBIA SOUTHERN UNIVERSITY,FIRE OFFICER 1,"Students will be producing written projects investigating the basic responsibilities and duties of the level I Company Officer. Using real-world scenarios, students will learn and discuss the importance of listening skills, written, oral, and emergency scene communications. Students will explain the process of performing pre-incident investigations and developing pre-incident plans; describe the effects of fire on different building types; learn the role of HR management and how it applies to level I Company Officer; explain the purpose of goals of company level training and discuss concepts of leadership and supervision.",350.00
Health & Human Services,Psychology,Masters (MA/MS/MPH/etc.),WALDEN UNIVERSITY,COUNSELING ADDICTIVE DISORDERS,"Students are provided with a foundation for counseling clients who have both substance-related and behavioral addictions. In this course, students examine historical perspectives and current trends in addiction treatment, as well as the biological and environmental influences on the etiology of addiction. Techniques and processes for assessment and diagnosis are examined in the context of individual, group, and systemic perspectives, with attention given to developmental and multicultural influences on addiction. Influences of public policy and advocacy on addiction and treatment are also examined.",1065.00
Finance,None,Non-Degree,A & W Health Care Educators,PAYTRAIN SOFTWARE- PAYROLL CERTIFICATION,"Join us at SHRM23 for the largest gathering of HR professionals on Earth in one of the most vibrant cities in America: Las Vegas, NV. The event will include four days of peer-to-peer networking, inspiring addresses from top business and HR leaders, competency-based HR seminars, hands-on workshops, plus curated content focused on some of the most pressing issues facing HR: DE&I, workplace culture, talent acquisition, and retention, and more.",1025.00
Police,Not Specified,Certificate,Institute of Police Technology & Management,INVESTIGATION OF MOTORCYCLE CRASHES-LEVEL 1,This course is designed for experienced traffic crash investigators who have a good working knowledge of the techniques and applications of formulas taught in basic crash investigation courses and who wish to build upon that foundation with more advanced mathematical formulas used to analyze motorcycle crashes.,995.00
Police,General Studies,Bachelors (BA/BS),University of Maryland Global Campus,ANTHROPOLOGY,"An introduction to the Spanish language. The objective is to listen to, speak, read, and write elementary Spanish in concrete, real-life situations and in culturally appropriate ways. The diverse language and culture of the Spanish-speaking world is explored.",750.00
Fire/Rescue Services,None,Non-Degree,FIRE DEPARTMENT TRAINING NETWORK,FIREGROUND COMPANY OFFICER,"RESCUE COMPANY OPERATIONS FOCUSED ON FORCIBLE ENTRY, SEARCH TECHNIQUES, ETC.",1200.00
Police,Not Specified,Certificate,NORTHWESTERN UNIVERSITY,CRASH INVESTIGATION 2,"Participation in Crash Investigation 2 expands the capabilities - and enhances the credibility- of on-scene investigators. Students in Crash Investigation 2 obtain expanded
skills for technically preparing crash investigation data, report writing, and collecting follow-up data required for prosecutors, defense attorneys, reconstructionists, traffic safety engineers, and others. Crash Investigation 2 builds upon topics examined in Crash Investigation 1 and provides students with greater knowledge of the information available at the crash scene, how to properly collect it, and how to initiate its interpretation. Like Crash Investigation 1, the course is rooted in Baker and Fricke's Traffic Crash Investigation and emphasizes vehicle behavior in crashes, vehicle damage analysis, advanced mapping and evidence location skills, and properly downloading and preserving digital evidence from collision investigations. Instructors demonstrate use of such emerging technologies as mapping scenes and recording videos with drones and/or total stations.",435.00
Fire/Rescue Services,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, COLLEGE PARK",CONTEMPORARY CRIMINOLOGICAL THEORY,,610.00
Police,Spanish Language and Literature,Other,MONTGOMERY COMMUNITY COLLEGE,SPANISH III - PART 1,Intermediate Spanish language grammar and communication practice,280.00
Health & Human Services,Social Work,Other,Center for Excellence in EMDR Therapy,EMDR EXTENDED TRAINING,"This is the next step after I have completed Basic EMDR Training. The Intermediate EMDR Training combines hands-on practice, deep learning and direct application to more complex cases helping my clients thrive rather than just survive.",805.00
Transportation,Civil and Environmental Engineering,Bachelors (BA/BS),MONTGOMERY COMMUNITY COLLEGE,CHEM 135 - GENERAL CHEMISTRY FOR ENGINEERS,"Covers the nature and composition of matter, solutions, chemical reactions, equilibria, kinetics, thermodynamics, and electrochemistry with engineering applications. A one-semester general chemistry course designed for students majoring in engineering, except for biological resources engineering, chemical engineering, or general engineering majors. Not open to students who have completed CHEM 131 and CHEM 132 . PREREQUISITE(S): MATH 093 , MATH 096 or a grade of C or better in MATH 117A or equivalent; completion within the last five years with a grade of C or better or one year of high school chemistry or CHEM 099 or consent of department. Assessment Level(s): ENGL 101 /ENGL 101A , READ 120 . Three hours lecture, one hour discussion, three hours laboratory each week. Formerly CH 135.

4 semester hours 

Course Outcomes:
Upon course completion, a student will be able to:
-	Use dimensional analysis as a technique for solving problems and report the answer with the appropriate number of significant figures.
-	Do mole, solution concentration, and stoichiometry calculations, including solution stoichiometry.
-	Calculate the magnitude and direction of heat changes for physical and chemical changes.
-	Name and write symbols for elements, ions, and compounds.
-	Write balanced equations and predict the products of various types of reactions.
-	Describe the major components of the atom and their locations in the atom.
-	Describe the qualitative behavior of gases, liquids, solids, and solutions and the quantitative behavior of gases.
-	Use the Periodic table to write electron configurations and explain periodic trends.
-	Describe the type of bonding forces in a compound and the types of intermolecular forces that compound exhibits as a pure substance and in aqueous solution.
-	Use Lewis dot structures and VESPER theory to describe the molecular geometry and polarity of simple compounds.
-	Write kinetics rate expressions in terms of reactants and products; perform chemical kinetics calculations, including determination of rate laws, reaction rate constants, and application of first and second order integrated rate laws.
-	Explain the effect of temperature on reaction rate; determine the activation energy, and explain catalysis.
-	Explain the relationship between reaction rate and chemical equilibrium.
-	Write equilibrium constant expressions, determine equilibrium constants, determine whether equilibrium has been established, and calculate equilibrium concentrations.
-	Use LeChatelier's Principle to predict the effects of concentration, pressure, and temperature changes on equilibrium mixtures.
-	Determine and then use Ka, Kb, and Kw to calculate solute concentrations and pH in aqueous acidic and basic solutions.
-	Explain enthalpy, entropy, free energy. Calculate thermodynamic quantities (?H, ?S, and ?G) for chemical reactions.
-	Describe the differences between galvanic and electrolytic electrochemical cells; determine standard cell potentials.
-	Locate safety equipment and work safely in the laboratory.
-	Demonstrate proper waste disposal.
-	Successfully use chemistry laboratory techniques such as filtration, precipitation, weighing, and titration.
-	Make observations, collect data, and do calculations.
-	Apply chemical principles to explain the results of experimental observations and calculations.",576.00
Police,Criminal Justice,Bachelors (BA/BS),LIBERTY UNIVERSITY,CRIMINAL JUSTICE-JUDICIAL PROCESS,"This course is designed to increase the understanding of the criminal judicial process in the United States. It includes a study of the functioning of courts, judges, lawyers and law enforcement agencies, including judicial decision-making and the impact of court decisions on the American Republic.",1322.00
Community Engagement Cluster,Business/Admin./Mgmt.,Bachelors (BA/BS),STRAYER UNIVERSITY,INTRODUCTION TO PUBLIC ADMINISTRATION,"HTM 100 Provides an overview of the hospitality industry, career opportunities, international perspective on the travel and tourism industry, and a comprehensive look at each department in the food
service, lodging, and travel industries. Basic management theories will also be explored within the context of the industry.",1775.00
Transportation,Civil and Environmental Engineering,Bachelors (BA/BS),Montgomery College Rockville Campus,SOCY 100 -INTRODUCTION TO SOCIOLOGY,"Elementary numerical analysis. Roots of equations. Systems of linear equations: Gaussian elimination, matrix diagonalization and inversion, iterative methods. Interpolation and curve fitting. Numerical integration. Differential equations. Example problems in the context of engineering applications are solved using a variety of software tools, including structured programming and high-level computational packages such as MATLAB. PREREQUISITE: Completion of one semester of calculus. COREQUISITE: MATH 182 or higher. Two hours lecture, two hours laboratory each week. Formerly ES 240.",336.00
Police,Other/Misc.,Other,Second Sight Training Systems,ACTIVE THREAT ASSESSMENT FOR LAW ENFORCEMENT,"Through our intensive 8-hour Threat Awareness for Law Enforcement course, learners with gain a working knowledge of the terms and concepts associated with baselining and active threat assessment, be able to systematically observe any environment, assess threat levels using visible behaviors, and identify potentially threatening individuals and situations.

This course covers how to assess a baseline using the Behavioral Baseline Instrument (BBI); how to properly identify the roles, deviations, and objectives of those they are observing; how to identify behavioral threat indicators and their relevance to the baselining process; and how to identify a Person of Interest (POI) and recognize a potential or imminent threat.",299.00
Transportation,Engineering (Undecided),Bachelors (BA/BS),NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,PH 161- GENERAL PHYSICS I,General Physics for Engineers,336.00
Health & Human Services,Psychology,Certificate,Chicago School of Professional Psychology,ONLINE LEARNING COMMUNITIES AND PEDAGOGIES,"This course provides a foundation of the best practices of online instruction and learning. Students will apply delivery frameworks for developing effective online courses that emphasize student engagement, classroom management, and learning theories into the design and delivery of online courses. This course will provide an overview of identifying critical design issues, engaging in effective instructional approaching, and evaluating online learning experiences. Students will complete a capstone project focused on developing an online learning module.",2300.00
Liquor Control,Other/Misc.,Certificate,Villanova University,LEAN SIX SIGMA,"Boost your success by getting Lean. In the world of Lean thinking, your primary goal is to operate more efficiently by increasing value, eliminating waste and streamlining flow. Lean Six Sigma techniques help professionals in both service and manufacturing industries.",1996.00
Police,Criminal Justice,Bachelors (BA/BS),LIBERTY UNIVERSITY,GOVERNMENT- TERRORISM,"A cross-disciplinary study of terrorism as a form of organized political violence; its intellectual, cultural, political, and religious roots; and its uses in ethnic, sectarian, and international conflicts.",808.00
Fire/Rescue Services,Public Safety,AA,University of Maryland Global Campus,INTRODUCTION TO INTERPERSONAL COMMUNICATION,"The aim is to apply theoretical frameworks and key concepts in communication to personal behavior and personal and professional contexts. Topics include self-identity, perception, listening, verbal and nonverbal communication, relationship development, and conflict management.",930.00
